msme_id,business_name,sector,employees,years_in_business,ntc_flag,gst_filing_delay_days,gst_compliance_pct,upi_txn_consistency,upi_monthly_volume,inflow_outflow_ratio,bank_balance_avg,bounce_count_6m,epfo_regularity_pct,loan_emi_outflow_ratio,pillar_gst_score,pillar_upi_score,pillar_banking_score,pillar_epfo_score,pillar_stability_score,financial_health_score,risk_band,archetype
MSME00041,Dara-Walla,Manufacturing,5,9.7,1,2.1,99.2,0.951,462234.0,1.45,125729.0,0,92.8,0.148,98.0,96.6,70.8,92.8,54.7,81.8,Healthy,healthy
MSME00042,Bassi-Mistry,Retail Trade,10,9.8,0,13.9,81.5,0.702,133650.0,1.01,102662.0,2,63.7,0.226,78.9,62.5,44.3,63.7,52.6,59.7,Moderate,moderate
MSME00043,Mitter-Ramaswamy,Retail Trade,11,11.8,1,1.2,97.6,0.859,116458.0,0.84,132030.0,1,92.1,0.187,97.7,71.7,55.9,92.1,59.8,75.3,Healthy,healthy
MSME00044,Badal-Lad,Textiles,2,14.4,1,21.2,50.0,0.375,43656.0,0.82,22408.0,4,40.1,0.548,54.7,30.6,3.8,40.1,56.8,34.3,High-Risk,high_risk
MSME00045,Parmer-Keer,Retail Trade,2,1.8,1,3.6,93.3,0.836,470713.0,1.21,235603.0,1,93.6,0.298,93.4,88.5,79.2,93.6,26.5,79.5,Healthy,healthy
MSME00046,"Balay, Tank and Devi",Retail Trade,10,14.6,0,5.8,76.1,0.686,171235.0,1.13,56513.0,2,78.4,0.375,81.5,65.1,31.4,78.4,62.5,63.0,Moderate,moderate
MSME00047,Kaur Ltd,Retail Trade,4,3.8,0,0.0,95.3,0.833,547529.0,1.49,164345.0,0,92.8,0.191,97.2,88.3,84.7,92.8,35.7,85.2,Healthy,healthy
MSME00048,"Khalsa, Lalla and Mannan",Food & Beverage,6,3.4,1,7.1,72.3,0.73,366221.0,1.09,62429.0,2,77.5,0.317,78.3,81.1,32.6,77.5,30.7,62.5,Moderate,moderate
MSME00049,"Peri, Raghavan and Mittal",Agri-processing,3,6.2,0,5.8,65.2,0.655,201525.0,0.89,62116.0,0,72.9,0.262,75.0,66.0,38.4,72.9,40.8,57.4,Moderate,moderate
MSME00050,Ganesh Inc,Agri-processing,12,6.2,0,0.0,96.4,0.959,548454.0,1.38,154335.0,1,91.8,0.154,97.8,97.1,73.9,91.8,44.0,86.3,Healthy,healthy
MSME00051,"Soman, Char and Gaba",Food & Beverage,11,12.1,0,15.1,63.4,0.479,100156.0,0.91,10605.0,6,40.1,0.399,67.2,43.5,0.0,40.1,54.3,40.6,High-Risk,high_risk
MSME00052,"Shankar, Datta and Solanki",IT/Services,5,5.1,0,20.7,65.1,0.469,5000.0,0.78,29912.0,3,39.5,0.501,64.1,33.3,10.5,39.5,30.3,34.0,High-Risk,high_risk
MSME00053,"Garde, Lal and Narasimhan",Manufacturing,1,6.8,0,28.4,58.2,0.423,118323.0,0.8,9894.0,0,34.2,0.61,54.5,41.4,19.3,34.2,32.1,39.8,High-Risk,high_risk
MSME00054,"Pai, Bahri and Kala",Construction Materials,4,3.6,1,30.2,38.8,0.567,118373.0,0.67,28011.0,5,50.1,0.682,41.5,51.5,0.0,50.1,20.3,33.6,High-Risk,high_risk
MSME00055,Palla Group,IT/Services,6,0.8,1,7.4,77.6,0.763,299628.0,1.17,131706.0,2,63.2,0.299,81.2,83.4,57.3,63.2,23.4,62.2,Moderate,moderate
MSME00056,Badal PLC,IT/Services,9,4.8,1,29.6,69.1,0.467,76559.0,0.86,31943.0,3,62.6,0.61,60.1,40.4,12.9,62.6,26.1,40.9,High-Risk,high_risk
MSME00057,"Chaudry, Goda and Pant",Auto Services,13,1.7,1,1.8,98.6,0.877,317278.0,1.2,158695.0,1,96.3,0.24,97.8,91.4,71.9,96.3,27.9,80.1,Healthy,healthy
MSME00058,Bora-Madan,Textiles,8,7.6,0,2.2,97.7,0.903,704258.0,1.16,191676.0,0,92.2,0.07,97.0,93.2,83.1,92.2,50.7,86.6,Healthy,healthy
MSME00059,Saran PLC,Agri-processing,1,7.0,0,3.9,100.0,0.918,493310.0,1.2,72345.0,0,92.0,0.113,97.2,94.3,48.2,92.0,47.6,76.7,Healthy,healthy
MSME00060,Agrawal Group,Retail Trade,12,5.5,0,2.0,99.2,0.876,352065.0,1.04,68520.0,0,95.1,0.205,98.1,91.3,43.7,95.1,40.3,71.8,Healthy,healthy
MSME00061,"Sunder, Tripathi and Kala",Auto Services,12,14.3,0,3.6,97.6,0.949,269249.0,1.34,245136.0,0,98.5,0.29,96.0,93.4,86.8,98.5,64.2,89.6,Healthy,healthy
MSME00062,Prakash Ltd,Food & Beverage,12,14.2,0,0.0,100.0,0.894,452827.0,1.36,193993.0,0,95.5,0.212,100.0,92.6,87.1,95.5,66.2,91.1,Healthy,healthy
MSME00063,Lad and Sons,Agri-processing,3,10.6,0,15.3,51.0,0.576,75207.0,0.76,25422.0,3,43.6,0.68,59.6,47.8,8.8,43.6,41.4,40.0,High-Risk,high_risk
MSME00064,Pall PLC,IT/Services,3,7.0,0,2.6,96.8,0.892,571621.0,1.37,75088.0,0,100.0,0.219,96.2,92.4,52.4,100.0,44.4,76.7,Healthy,healthy
MSME00065,Gokhale and Sons,Agri-processing,17,9.9,1,2.5,89.7,0.976,375260.0,1.12,192501.0,1,95.1,0.238,92.0,98.3,77.4,95.1,52.6,83.6,Healthy,healthy
MSME00066,Grover Ltd,Retail Trade,7,7.5,1,11.2,78.0,0.685,210135.0,1.04,58900.0,0,60.6,0.292,78.8,69.0,40.4,60.6,43.8,60.2,Moderate,moderate
MSME00067,Srinivasan LLC,Construction Materials,7,14.9,0,2.4,93.7,0.899,509587.0,1.06,187400.0,0,92.3,0.231,94.5,92.9,81.2,92.3,67.8,89.4,Healthy,healthy
MSME00068,Krish LLC,Manufacturing,12,5.5,1,22.5,56.9,0.595,5000.0,0.82,4702.0,8,41.0,0.537,58.0,42.2,0.0,41.0,30.4,42.2,High-Risk,high_risk
MSME00069,"Mohanty, Mani and Kari",Food & Beverage,1,9.1,0,0.8,89.7,0.859,461351.0,1.2,298074.0,0,90.4,0.181,93.2,90.2,83.9,90.4,51.9,85.4,Healthy,healthy
MSME00070,Karpe-Chokshi,Construction Materials,19,4.6,1,17.2,65.7,0.224,241887.0,1.01,20679.0,7,45.1,0.686,67.0,39.8,0.0,45.1,23.2,37.6,High-Risk,high_risk
MSME00071,Jhaveri-Dutt,IT/Services,1,11.1,0,22.6,62.8,0.651,150411.0,0.77,30169.0,6,66.1,0.377,61.4,60.6,0.0,66.1,52.0,46.2,Moderate,high_risk
MSME00072,"Prasad, Chandran and Verma",Food & Beverage,7,1.8,1,0.4,95.9,0.802,205116.0,1.22,147094.0,0,86.4,0.191,97.3,76.6,73.5,86.4,29.7,77.8,Healthy,healthy
MSME00073,Swaminathan-Kanda,Manufacturing,3,7.4,1,4.0,99.7,0.926,399143.0,1.01,134547.0,0,98.6,0.194,97.0,94.8,65.1,98.6,46.4,79.2,Healthy,healthy
MSME00074,"Bali, Tandon and Randhawa",Auto Services,8,5.7,0,0.0,53.8,0.696,146947.0,0.88,12100.0,6,36.9,0.657,72.3,63.4,0.0,36.9,27.4,36.7,High-Risk,high_risk
MSME00075,Rana-Raj,Manufacturing,6,11.0,1,5.5,76.7,0.765,164593.0,1.13,117882.0,3,76.5,0.236,82.1,70.0,47.0,76.5,55.9,67.4,Moderate,moderate
MSME00076,Thakur LLC,Manufacturing,13,6.8,0,10.6,77.4,0.741,167552.0,0.76,65972.0,2,79.2,0.255,78.8,68.6,27.1,79.2,42.8,60.4,Moderate,moderate
MSME00077,Bail Ltd,Textiles,7,10.3,0,20.5,34.6,0.48,36500.0,1.0,14295.0,4,43.7,0.589,46.0,37.2,4.7,43.7,43.2,26.4,High-Risk,high_risk
MSME00078,Pant LLC,Manufacturing,16,10.0,0,1.5,97.1,0.958,690338.0,1.14,154922.0,0,90.5,0.236,97.2,97.1,74.4,90.5,52.9,82.5,Healthy,healthy
MSME00079,"Sandhu, Bahl and Banerjee",Agri-processing,19,8.9,1,2.2,95.1,0.931,538458.0,1.11,186081.0,0,95.2,0.171,95.4,95.2,82.2,95.2,51.6,89.1,Healthy,healthy
MSME00080,Madan-Singh,IT/Services,11,7.6,0,6.8,98.4,0.899,410566.0,1.25,212827.0,0,98.2,0.144,94.1,92.9,85.1,98.2,48.5,88.0,Healthy,healthy
MSME00081,"Bala, Kuruvilla and Ramesh",Manufacturing,18,8.8,1,9.8,38.5,0.449,20611.0,0.67,2637.0,7,55.8,0.783,56.0,33.5,0.0,55.8,32.9,35.1,High-Risk,high_risk
MSME00082,Patla Inc,Agri-processing,14,6.3,0,8.6,68.1,0.706,369532.0,1.05,76921.0,1,64.9,0.271,74.7,79.4,41.7,64.9,40.8,61.6,Moderate,moderate
MSME00083,Bera PLC,Manufacturing,5,5.1,1,2.0,97.1,0.967,527632.0,1.23,204988.0,0,91.2,0.183,96.8,97.7,84.5,91.2,39.8,90.8,Healthy,healthy
MSME00084,Sethi LLC,Manufacturing,14,9.6,0,0.0,96.6,1.0,451020.0,1.22,158553.0,0,100.0,0.085,97.9,100.0,77.3,100.0,56.2,87.7,Healthy,healthy
MSME00085,Kulkarni-Kadakia,IT/Services,6,7.5,0,0.3,97.2,0.901,477741.0,1.49,114078.0,0,93.9,0.294,98.1,93.0,67.9,93.9,43.7,84.8,Healthy,healthy
MSME00086,Patla Ltd,IT/Services,6,4.3,0,0.6,96.5,0.91,456207.0,1.33,145131.0,3,93.7,0.118,97.5,93.7,60.0,93.7,39.4,77.9,Healthy,healthy
MSME00087,Gupta Group,Retail Trade,11,11.8,0,11.2,80.5,0.811,251464.0,0.98,108090.0,2,71.1,0.357,80.2,81.9,45.7,71.1,54.7,72.3,Healthy,moderate
MSME00088,Prabhu Ltd,IT/Services,7,0.9,1,17.4,76.5,0.691,161721.0,1.14,64563.0,1,69.8,0.426,73.4,64.6,39.3,69.8,19.9,61.0,Moderate,moderate
MSME00089,"Oak, Grover and Chowdhury",Food & Beverage,4,6.9,1,32.0,32.8,0.615,71315.0,0.92,25890.0,4,73.3,0.487,36.7,50.2,7.1,73.3,36.1,32.3,High-Risk,high_risk
MSME00090,Srinivas-Gera,Textiles,19,4.6,0,8.2,83.5,0.71,356004.0,0.88,69637.0,1,82.1,0.286,84.2,79.7,35.7,82.1,35.2,57.9,Moderate,moderate
MSME00091,"Singh, Borah and Sood",Agri-processing,7,1.2,1,3.8,98.2,0.964,377943.0,0.81,254869.0,0,95.5,0.171,96.2,97.4,76.2,95.5,28.5,87.5,Healthy,healthy
MSME00092,Wable-Din,Retail Trade,1,6.5,0,6.1,71.9,0.638,152587.0,1.2,94617.0,2,84.6,0.242,78.7,59.9,45.5,84.6,42.3,61.5,Moderate,moderate
MSME00093,"Shetty, Kala and Swaminathan",IT/Services,9,15.0,0,27.6,44.5,0.339,92101.0,0.66,1000.0,2,21.8,0.566,46.8,33.0,3.5,21.8,58.0,28.9,High-Risk,high_risk
MSME00094,Vohra-Chaudhari,Retail Trade,26,4.8,0,7.5,79.5,0.88,499893.0,1.12,64504.0,3,76.8,0.36,82.3,91.6,29.0,76.8,33.6,67.6,Moderate,moderate
MSME00095,Nadkarni Ltd,Retail Trade,9,1.3,1,19.1,47.4,0.367,107701.0,0.9,12615.0,6,42.0,0.586,54.7,36.5,0.0,42.0,16.3,32.2,High-Risk,high_risk
MSME00096,Wali-Chada,Manufacturing,15,3.9,0,9.8,85.9,0.866,223594.0,1.02,78071.0,2,71.2,0.251,84.5,82.9,36.5,71.2,34.2,67.2,Moderate,moderate
MSME00097,"Dutt, Muni and Bava",Food & Beverage,4,1.5,1,10.7,76.9,0.612,281385.0,1.0,57325.0,0,65.2,0.285,78.4,71.0,39.2,65.2,25.9,61.6,Moderate,moderate
MSME00098,Magar-Balan,Auto Services,5,6.4,1,6.2,83.6,0.865,160831.0,1.0,65100.0,3,65.5,0.362,85.7,76.6,26.7,65.5,38.3,65.5,Moderate,moderate
MSME00099,Kalla PLC,Agri-processing,4,5.2,0,2.8,95.9,0.907,309101.0,1.26,202720.0,0,88.6,0.199,95.5,93.5,85.1,88.6,39.6,83.4,Healthy,healthy
MSME00100,Nigam and Sons,Food & Beverage,6,7.5,1,3.9,92.1,0.905,509390.0,1.24,191142.0,0,100.0,0.247,92.5,93.4,84.7,100.0,45.1,83.3,Healthy,healthy
MSME00101,Modi-Zachariah,Manufacturing,11,5.9,0,5.9,94.3,0.947,828570.0,1.57,121346.0,0,96.4,0.245,92.3,96.3,71.9,96.4,40.4,82.1,Healthy,healthy
MSME00102,"Chawla, Ray and Sabharwal",Retail Trade,5,9.0,1,11.3,77.6,0.81,189933.0,1.12,39410.0,1,74.8,0.306,78.4,75.7,30.5,74.8,47.8,62.8,Moderate,moderate
MSME00103,"Memon, Batra and Chakraborty",Construction Materials,4,13.0,0,0.0,97.7,1.0,530967.0,1.11,218998.0,0,90.1,0.086,98.6,100.0,82.1,90.1,66.4,91.7,Healthy,healthy
MSME00104,Bawa PLC,Agri-processing,1,14.3,0,11.0,80.8,0.726,286841.0,1.11,32870.0,3,80.5,0.303,80.6,79.5,18.1,80.5,63.8,66.2,Moderate,moderate
MSME00105,Brar Ltd,Retail Trade,27,13.8,0,30.0,49.6,0.607,106804.0,1.34,17365.0,6,23.0,0.745,48.2,53.1,2.6,23.0,49.0,32.9,High-Risk,high_risk
MSME00106,"Verma, Gara and Basak",Textiles,6,11.6,0,0.0,98.4,0.883,408036.0,1.37,200403.0,0,91.2,0.196,99.1,91.8,87.4,91.2,58.9,86.1,Healthy,healthy
MSME00107,"Kapadia, Gara and Mutti",Textiles,2,8.5,1,7.9,78.9,0.729,231313.0,1.12,53045.0,2,67.8,0.259,81.7,74.2,30.2,67.8,47.7,63.4,Moderate,moderate
MSME00108,Zacharia LLC,IT/Services,5,7.8,1,25.3,60.5,0.501,93233.0,0.79,37091.0,4,41.7,0.515,58.0,44.4,8.2,41.7,38.0,40.6,High-Risk,high_risk
MSME00109,"Pandey, Buch and Badami",Manufacturing,12,8.3,0,5.1,94.3,0.967,725088.0,1.21,159748.0,0,92.0,0.147,92.9,97.7,77.5,92.0,50.5,83.3,Healthy,healthy
MSME00110,Batta-Ramaswamy,IT/Services,2,9.4,0,0.0,90.4,1.0,508442.0,1.12,212078.0,0,98.1,0.168,94.2,100.0,82.4,98.1,53.2,90.8,Healthy,healthy
MSME00111,Chakrabarti Group,Auto Services,25,7.7,0,2.7,95.9,0.839,454860.0,1.36,246527.0,0,98.1,0.196,95.6,88.7,87.2,98.1,47.2,84.6,Healthy,healthy
MSME00112,Goyal Group,Auto Services,19,10.5,1,4.5,96.4,0.922,500752.0,0.94,168788.0,0,88.7,0.17,94.6,94.5,75.0,88.7,56.4,82.6,Healthy,healthy
MSME00113,Ghose and Sons,IT/Services,6,0.7,1,14.8,45.3,0.477,55588.0,0.94,9015.0,8,36.7,0.539,56.5,38.9,0.0,36.7,15.9,33.1,High-Risk,high_risk
MSME00114,Chaudhary-Dhar,Construction Materials,17,7.2,0,32.3,61.7,0.455,190507.0,0.89,36156.0,6,54.1,0.447,53.7,50.9,0.0,54.1,38.2,42.3,High-Risk,high_risk
MSME00115,"Chadha, Ranganathan and Date",Construction Materials,10,5.5,0,7.0,73.9,0.619,399083.0,1.11,82367.0,2,88.1,0.268,79.2,73.3,39.7,88.1,38.5,69.3,Moderate,moderate
MSME00116,Gade Inc,Retail Trade,1,3.6,0,22.1,61.0,0.371,160964.0,0.93,30367.0,6,35.7,0.477,60.7,42.1,0.0,35.7,26.5,30.7,High-Risk,high_risk
MSME00117,"Savant, Sarkar and Shere",Textiles,10,1.4,1,26.9,57.3,0.522,83607.0,0.95,26368.0,4,62.0,0.526,55.0,44.9,7.8,62.0,18.4,39.4,High-Risk,high_risk
MSME00118,Bhavsar-Sampath,IT/Services,14,5.2,0,1.3,98.2,0.92,497423.0,1.32,87866.0,0,98.6,0.139,98.0,94.4,55.7,98.6,41.4,82.1,Healthy,healthy
MSME00119,Tank PLC,Auto Services,8,8.8,0,23.4,51.3,0.457,83156.0,0.81,11664.0,1,51.6,0.608,54.0,40.3,15.2,51.6,38.2,36.6,High-Risk,high_risk
MSME00120,Arya-Rau,Agri-processing,4,8.7,0,10.0,84.3,0.732,222151.0,1.01,116902.0,2,80.6,0.333,83.4,73.4,49.1,80.6,46.1,67.6,Moderate,moderate
MSME00121,"Ramachandran, Prashad and Sura",Auto Services,10,7.3,0,31.1,51.8,0.564,81902.0,0.95,18070.0,6,50.7,0.556,48.7,47.7,0.0,50.7,35.2,35.5,High-Risk,high_risk
MSME00122,Jani-Barad,Retail Trade,3,9.2,1,18.8,70.2,0.594,108685.0,0.93,33970.0,7,23.2,0.615,68.6,52.5,0.0,23.2,39.2,38.1,High-Risk,high_risk
MSME00123,Choudhury LLC,Agri-processing,11,9.1,0,2.4,98.2,0.949,288319.0,1.26,333752.0,1,98.9,0.155,97.2,95.2,80.1,98.9,52.7,86.4,Healthy,healthy
MSME00124,Badami Group,Retail Trade,3,14.6,0,1.0,95.4,0.888,338013.0,1.22,87083.0,0,87.2,0.157,96.6,92.1,53.5,87.2,69.1,78.7,Healthy,healthy
MSME00125,Dada Inc,Agri-processing,13,0.8,1,1.1,99.3,0.819,299533.0,1.28,197204.0,0,97.4,0.255,98.8,87.3,85.6,97.4,24.7,84.8,Healthy,healthy
MSME00126,Andra PLC,Manufacturing,2,2.6,1,3.3,82.7,0.652,217781.0,0.82,58186.0,1,65.5,0.134,87.2,67.4,30.9,65.5,33.8,61.2,Moderate,moderate
MSME00127,Varughese LLC,Food & Beverage,2,2.3,1,26.7,67.2,0.523,5000.0,1.15,26963.0,4,77.3,0.464,61.1,37.1,11.9,77.3,23.0,46.5,Moderate,high_risk
MSME00128,"Deshpande, Balakrishnan and Bava",Agri-processing,5,3.0,0,19.6,48.5,0.802,23337.0,0.95,1000.0,3,61.0,0.441,55.0,58.5,4.3,61.0,25.8,39.0,High-Risk,high_risk
MSME00129,Nayak Group,Auto Services,12,8.9,0,1.6,99.7,0.866,404279.0,1.36,211177.0,0,100.0,0.187,98.7,90.6,87.2,100.0,51.1,84.2,Healthy,healthy
MSME00130,Mand-Lata,Textiles,3,13.1,0,5.5,86.1,0.775,207238.0,0.91,48564.0,2,72.9,0.245,87.7,75.0,24.3,72.9,61.9,61.9,Moderate,moderate
MSME00131,"Desai, Khalsa and Dasgupta",Manufacturing,9,11.7,0,14.5,86.2,0.769,389860.0,1.06,64800.0,3,79.9,0.331,81.3,83.8,27.9,79.9,55.2,64.5,Moderate,moderate
MSME00132,Comar and Sons,Food & Beverage,11,7.8,1,2.4,96.2,0.869,629946.0,1.22,86812.0,0,92.8,0.152,96.0,90.8,53.3,92.8,48.9,79.8,Healthy,healthy
MSME00133,"Tandon, Nadkarni and Viswanathan",Retail Trade,12,1.3,1,5.1,100.0,0.952,491793.0,1.04,192121.0,1,94.9,0.236,96.3,96.6,75.7,94.9,26.8,81.6,Healthy,healthy
MSME00134,"Desai, Bhargava and Raval",Food & Beverage,18,5.5,1,2.3,96.3,0.915,432566.0,1.28,274687.0,0,97.9,0.197,96.1,94.1,85.6,97.9,40.6,89.3,Healthy,healthy
